region,num_movie,average_rate
United Arab Emirates,5,6.32
Bosnia and Herzegovina,5,6.79
Canada,5,6.69
Australia,5,7.5
England,5,6.91
Georgia,5,6.61
France,5,6.91
Bulgaria,5,6.04
Bangladesh,5,6.34
Colombia,5,6.36
Switzerland,5,6.2
Chile,5,6.1
Austria,5,6.46
Argentina,5,7.23
Brazil,5,7.07
Belgium,5,6.83
Czech Republic,5,6.43
China,5,6.94
Denmark,5,7.09
Germany,5,6.8
Estonia,5,6.78
Egypt,5,6.66
Finland,5,6.36
Spain,5,6.77
Luxembourg,5,7.1
Greece,5,6.03
Indonesia,5,7.13
Italy,5,7.73
Hungary,5,5.93
Israel,5,6.52
Iceland,5,7.03
Iran,5,7.54
Qatar,5,6.72
West Bank,5,7.2
Ireland,5,7.22
India,5,7.44
Latvia,5,6.76
Japan,5,7.83
South Korea,5,7.22
Malaysia,5,5.62
Mexico,5,6.95
Norway,5,7.04
Netherlands,5,7.05
Philippines,5,6.54
New Zealand,5,6.89
USA,5,6.92
Portugal,5,6.1
Poland,5,6.44
Saudi Arabia,5,6.92
Republic of Serbia,5,5.8
Sweden,5,6.91
Russia,5,6.07
Romania,5,6.11
Thailand,5,6.94
Turkey,5,7.08
Ukraine,5,6.84
Taiwan,5,6.99
Vietnam,5,6.02
South Africa,5,6.76
